crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15
11,2,0.172327567849292,0.646368239810093,cmm,D2,0,0.020723588931854,-0.240838781706595,-0.151603978950009,0.0576413213343464,-0.407979131838145,0.287986591624392,0.364838044370649,-0.221541006667228,0.0371656121850718,0.346004294037333,0.293540765100579,0.115659023777751,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
12,3,0.170443583318646,0.632312552505156,p2,C2,0,-0.390563695337565,0.320501321928864,0.359436305929659,-0.112511379873682,-0.102716739870366,-0.278699896157455,-0.178410649303365,0.0536771374245142,0.0715893509243199,0.486689838579864,0.147283260357317,0.154312804997894,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1
13,2,0.166666666666667,0.604599788078072,cmm,D2,3,0.0775929549,-0.044131959,-0.2306042809,-0.2220579442,0.4234952422,-0.1330924563,0.173558362566667,0.299899761328152,-0.159774970766667,0.299899761328131,0.0068916959,-0.566125642456282,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
14,4,0.166666666666666,0.604599788078071,cmm,D2,0,-0.295934089803175,-0.14358470189298,-0.129267423137911,0.145090432702643,0.037399243541086,0.433765567290337,0.454886993499149,0.192763255628638,0.288220326834256,-0.095911878967199,0.121553660166596,-0.384587013561439,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1
15,2,0.166666666666666,0.604599788078071,p6m,D6,0,-0.1819157135268,0.192507285247145,0.151417619784147,-0.384842983955405,-0.34858238024068,-0.0961678493204091,0.151417619806533,0.192507285275814,0.318084286425986,-0.0961678493462577,-0.181915713549186,-0.384842983900888,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
16,4,0.166666666666666,0.60459978807807,p3m1,D3,0,-0.0008419653500146,0.428669049257157,0.332491367983341,-0.148681219932456,-0.334175298683326,-0.148681219932482,0.165824701316652,-0.437356354527256,-0.167508632016681,-0.437356354527307,-0.500841965349971,0.139993914662344,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1
17,4,0.166666666666666,0.604599788078067,cmm,D2,1,-0.0844173773944112,-0.0276247432815827,0.415582622605548,0.261050391313155,0.0822492892722149,0.261050391313252,-0.417750710727743,-0.0276247432816318,0.415582622605509,-0.316299877876398,-0.251084044061119,0.261050391313206,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1
18,3,0.15513325512517,0.523817859986876,cmm,D2,0,-0.327352523570751,0.0854800086101663,-0.48248577869592,-0.183218671210172,-0.0586538437504083,-0.0696532465149986,0.403948796608913,0.240613263735341,0.248815541483743,-0.0280854160849978,-0.213787098875578,-0.338351926335338,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
19,3,0.150048923399032,0.490045334467376,cmm,D2,0,0.184597707094439,-0.360280163903704,-0.315402293005964,-0.360280163609566,0.284548783532595,-0.0773163853530063,-0.415353370276832,0.222781461659641,-0.415353369669341,-0.0773163851384229,0.284548782925105,0.222781461445058,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
20,4,0.148267582704313,0.478479026153611,cmm,D2,0,0.362719195847805,0.327704499536821,0.430540833552116,0.0390293710913188,-0.0694591664478045,0.327704499536821,-0.137280804152116,0.039029371091319,-0.205102402595687,-0.24964576657814,0.498362431995687,-0.24964576657814,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1
21,3,0.144337567297406,0.453449841058554,p6m,D6,1,0.11053509,0.2172168396,-0.290321687746324,-0.12894972815663,0.209678312256139,-0.128949728282817,0.459678312153225,0.304062973674628,0.45967831221848,0.0153878390798157,-0.0403216877815196,-0.273287295514997,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
22,5,0.144337567297406,0.453449841058554,pmm,D2,0,0.17279733466107,0.21366034591541,-0.0772026653555992,0.0693227786468761,-0.0772026650161911,-0.508027491130622,0.42279733478879,-0.219352356198027,-0.32720266560871,-0.0750147882121289,0.17279733463064,-0.363689923221509,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
23,2,0.133974596215561,0.390674805841056,p6m,D6,0,0.177188353864183,-0.362962466566197,-0.0907608385669397,-0.362962466744177,-0.456786242197243,0.271012129560374,0.409239161471555,-0.228987870417311,-0.322811646097322,-0.228987870461941,-0.456786242274233,0.0030629371292514,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1
24,3,0.131491848659894,0.376329404990144,cm,D1,0,-0.288877413529268,-0.135293484356705,0.342613502529267,-0.135293484356705,0.0268680444999992,0.280103108078452,-0.104623804159893,0.0523525454183576,0.158359893159894,0.0523525454183593,0.0268680444999998,0.543086805398241,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0
