crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
11,3,0.150048923399032,0.653393779289837,cmm,D2,2,-0.0867108383,-0.3781458218,0.4132910525,0.130625931,-0.336711342967176,-0.124012787357137,0.163288655908464,-0.124012785569114,-0.236760268477021,0.158950991881651,0.0633375763563763,0.459048839373693,0.263239729558313,-0.406976565104723,0.063337578321043,0.158950992575629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
12,4,0.148267582704241,0.637972034870854,cmm,D2,2,-0.273899023414318,-0.108119760278355,0.329676271336777,0.109606531283482,-0.206077411884751,0.180555374316519,0.0100117823505778,-0.0225174314912711,0.010011782350403,0.554832837698448,-0.2060774118846,-0.396794894873194,0.0778333938807371,-0.482397223659263,0.22610097658505,-0.225590237299972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1
13,1,0.147104513829671,0.628002288108145,p2,C2,0,0.108992131169498,-0.351086926687335,-0.0490901002944975,-0.102955993404885,0.410359776319525,0.297903596114783,0.149542254555474,0.114078887577437,0.137544409079942,0.408043177347813,0.422357621795058,0.0039393063444071,0.396605754789694,-0.289140534828598,-0.336703723914694,-0.16490238526362,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1
14,2,0.147068986454438,0.627698985671722,cmm,D2,0,0.236216366235281,0.0386376081533712,0.383285352689721,-0.216093348603374,-0.0512607615075786,-0.0236042437764928,0.433857955056562,0.256479177820739,-0.329237519567421,-0.153851496673507,0.185643763868437,-0.433934918270739,-0.0837887780698122,-0.315938085891069,-0.296709503005188,0.138482345441069,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0
15,2,0.146370308727643,0.621749157860046,p1,C1,0,0.442413674948678,0.0321886745740015,0.326340373794986,-0.236556665603994,-0.266809408331029,-0.0016617879153394,0.0495642778005316,-0.141204362044136,-0.0132889630400499,0.14470915499194,0.296043358198697,0.285709481378122,0.0425227839186362,0.432080200870821,-0.203956167490449,-0.287575304951415,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1
16,3,0.145614472243125,0.615344479934707,p1,C1,0,0.129806058100868,0.132134954715779,-0.316773015290278,-0.0434943610761914,-0.0643426728410991,-0.509289580121452,0.433334290453574,-0.224202886589129,-0.15389378517592,0.197927788909945,0.209719275789546,-0.410778938973645,-0.29694654491659,-0.334047642212538,0.4135078200799,0.0663503945472317,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
17,3,0.145604698902516,0.615261881422638,p1,C1,0,0.48158069661534,0.265704203698436,-0.322266691369168,0.0504669713954045,0.190057282496599,-0.0029399809940379,-0.003697967397727,0.44611194748243,-0.0711690491698858,-0.131640085943649,-0.214578232506401,-0.385089724934758,0.450981084423973,-0.132252327495578,-0.0520134436927317,0.158938605891751,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0
18,4,0.144337567297409,0.604599788078092,cm,D1,1,0.314036024500002,-0.022239678699999,0.234442546125928,-0.313117685009981,-0.0156193340282574,-0.457562431858268,-0.265619310485838,0.264125445405428,-0.0155575019821539,-0.168780201038236,-0.0155575019821706,0.4085700681514,-0.265557486698957,-0.313117794806925,-0.0155575325485539,0.119894933556582,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
19,3,0.144337567297406,0.604599788078072,p6m,D6,3,-0.1070461178,-0.1581818865,0.2373524875,-0.1583120656,0.0652437173,0.140080964,-0.434824111575644,-0.0588677607264979,-0.184824112866832,0.374144942253179,0.315175887920451,0.374144941441876,-0.434824112238988,0.229807373868315,0.0651758877610123,0.518482508463128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
20,3,0.144337567297406,0.604599788078071,pmm,D2,0,0.140089213177874,-0.257928225857658,-0.109910786823033,0.175084476036133,0.390089211258438,0.175084479168778,-0.359910788576719,-0.257928222628269,0.390089211368334,-0.113590655426035,-0.109910788631667,-0.402265790020848,-0.359910788686614,0.0307469119665433,0.140089211313386,0.319422046561356,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0
