crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36
12,4,0.152713583641441,0.761407390036845,cm,D1,0,-0.476079430963799,-0.0937860990484926,-0.150616992760385,0.487977202301374,-0.317170009820627,0.199498914599118,-0.211571745090844,-0.24649968268983,0.0920679369477015,-0.213504258674119,-0.0883267794778176,-0.525957072940096,0.259412883163364,0.0589274845930498,0.106699299521924,0.323435170465945,-0.0460142841195177,0.0589274845930509,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1
13,4,0.152661112576488,0.760884253952814,cmm,D2,0,0.431696897536757,0.204105249335469,-0.303886299359979,0.0514441363793062,0.167280094777352,0.356766362887212,0.258027453942136,-0.0966990503223086,0.105366341775145,-0.361115853881201,0.0009827797250974,0.0680725996330817,-0.137588984300012,0.340137899492021,-0.470753773836631,-0.236920442296473,-0.165852430559866,-0.220894462127108,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
14,5,0.152592371106858,0.760199174105669,cmm,D2,0,-0.478086386860624,-0.100318682777452,-0.311419717254007,-0.388993825619952,0.355246946654847,0.188356453187464,0.257615874177828,-0.252911054997909,-0.213788642900224,0.0522736807847375,-0.0471219801028272,-0.236401450263844,0.0909492113076258,0.0357640747068083,-0.380455311903604,0.340948821112433,-0.0757174580190145,0.324439209067714,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1
15,0,0.152494193710354,0.759221269831038,p2,C2,0,0.308399879717383,-0.0806645134943077,0.0771858780381657,-0.399126447941503,0.161199989825154,0.310263972287966,-0.275614232069596,0.0759704700606785,-0.455812809097287,-0.2741128537443,-0.158601433147153,-0.205678107691494,-0.141221232909206,0.349752204729301,0.0268069906647631,0.0364822376193449,0.442792878877775,0.193117221174313,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
16,1,0.152493933176092,0.75921867559477,p2,C2,0,-0.50038829423096,0.131615149782466,0.156924938094165,-0.21021475406464,-0.451687739685204,-0.169459350315092,0.196595824021962,0.0921820373071059,0.0097342598738616,0.394027896365094,-0.107710514867832,0.112559739182206,-0.147381400795611,-0.189837052189534,0.314040598763415,0.373650194490387,-0.292746701973798,0.355003976242008,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0
17,2,0.15249295847628,0.759208970186561,p2,C2,0,0.419496517622319,0.158760274745305,-0.419311576688984,-0.20004258085469,-0.295290670034764,0.266788332280552,0.295475610968097,-0.308070638389931,0.176612005346526,-0.0256943897008522,-0.176427064413194,-0.0155879164085288,-0.0070230172575418,-0.26919919050075,0.0072079581908739,0.227916884391369,0.250092470466667,0.412371548837527,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1
18,1,0.151670026702418,0.751036902721444,p31m,D3,0,0.278383169959051,0.0351743280456204,-0.439327102379174,-0.0758558374783903,-0.484317022279877,0.224129320666103,0.0156829777287686,0.186844354754332,0.126713143255944,-0.227525864187898,-0.221616830042327,0.375799347362227,-0.135987048974338,-0.075855837479186,0.0606728976135586,0.486829512901213,-0.135987048981606,-0.379195890884021,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1
19,2,0.149144814989904,0.726236495883985,p2,C2,0,0.466243921768543,-0.0794718908899527,0.0905983123425679,0.51542127781637,0.480131939569291,0.218494258722814,0.0767102945418204,0.217455128203603,0.186892524331577,-0.364150692590586,-0.130050290220466,-0.0659253242674355,0.168238887265798,-0.0664448895270413,-0.111396653154687,-0.36363112733098,-0.221578882944444,0.217974693463209,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0
20,3,0.148844759440938,0.723317291631278,p2,C2,0,-0.402894716877779,0.325117186761482,-0.22082557171264,0.0245437591591601,-0.0849638620429135,-0.240334789420641,-0.0354995644664372,0.257510110142095,0.229710130710881,0.392724263380864,-0.477791210496415,-0.125748323588303,0.17200177674086,-0.0900427066731758,0.371456724242582,0.13094773105934,0.322753842001863,-0.346738761320819,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0
21,3,0.148485177587986,0.719826707135358,p1,C1,0,0.0516243714363848,-0.546020028790606,-0.174274662636708,0.434285960970981,0.012058810935292,0.072607905054425,0.432849253824528,-0.0473909856472203,-0.116776092392282,-0.266788193683519,0.121704569918766,0.458528191668996,-0.2721004174458,-0.0136760724802615,0.277524928771012,0.205721135556037,0.167383135988808,-0.180504216148833,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
