crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45,contact_graph_46,contact_graph_47,contact_graph_48,contact_graph_49,contact_graph_50,contact_graph_51,contact_graph_52,contact_graph_53,contact_graph_54,contact_graph_55
708,6,0.106888956170701,0.45590840424837,p1,C1,0,-0.373715682002668,0.218890930114373,-0.447703324513413,0.0183246703378332,0.478309696913144,-0.182241834359789,0.141335776643202,-0.0408154154568572,0.110824117221524,-0.252404721529693,-0.0126021320545015,-0.426952585437277,-0.0956782390681611,0.483217417907812,0.171847405241838,0.170773895060729,0.0823975514758705,0.364938051037818,0.295273569939377,0.345321818775404,0.200273876903789,-0.446568920850354,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0
709,6,0.106647757822622,0.453853181915319,p1,C1,0,0.405286349394027,-0.0268312455698497,0.297679077924816,-0.392292157686462,0.0906548558179529,-0.34095066904989,-0.0022705616399655,0.0213554153488468,0.0738359024952502,0.220610987695534,-0.185501488069373,-0.0878297695170128,-0.328638488658347,-0.310516446756346,-0.397770075822571,-0.10873488007959,0.208343057925481,0.055073070188884,-0.116369900905149,-0.289611336193768,0.0047034217378777,0.422392248219653,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
710,6,0.106625790809079,0.453666234295953,p2,C2,0,-0.423770298702942,-0.146394967557782,-0.062692462860693,0.0384912492654417,0.006768619218175,-0.486964561038379,0.155056287520264,-0.18381070550553,0.358480950916102,0.0759069872132045,-0.210713095792604,-0.155498008295307,-0.27574966577103,0.0475942900029966,-0.450240701427707,0.170187583204974,-0.0362220601359313,-0.278091301497292,0.363172453306388,-0.137292981989344,0.150364785129978,0.0293892636970185,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
711,6,0.106544544901608,0.452975135415923,p2,C2,0,0.239571625624647,0.0339424091359645,-0.173735208970096,-0.284427296131742,0.446056540252776,0.0865821301095582,-0.380220123598222,-0.337067017105349,0.202138293162308,-0.361071055009783,-0.136301876507751,0.110586168014069,-0.347458265581701,0.139220754555771,-0.0867053177637503,0.476319762232896,0.0330868946244094,-0.0186980321323531,0.0327495220301304,-0.231786854863383,-0.217081791672749,0.307770258394351,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
712,6,0.106544544901553,0.452975135415451,p1,C1,0,-0.201294258330572,0.0112675360548485,-0.35012453468436,-0.141233313233184,-0.0436487101652537,-0.368619549162735,0.307521175631059,0.344904847086562,0.0779114347374004,-0.0047808039284886,-0.0797332516088796,0.375106146797125,0.158691829492258,0.192403089978609,0.0010458953426514,0.572290551887636,0.289889617828382,-0.322370261085996,0.105180696583167,-0.216117851204879,-0.0524646292258526,0.163769017010502,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0
713,7,0.10636683364824,0.451465313490108,p1,C1,0,0.180503125345928,0.409960377373559,-0.0597348827440894,-0.128970372121769,-0.138657640491907,0.414506378037006,0.296786874468113,0.0823539418896351,0.411262202259877,0.261660976130844,0.0384419356922947,0.0597540977360633,0.203765754847524,-0.308602172769706,0.0257387551780474,-0.425058175578037,0.182311556539446,-0.0969530986484903,0.0189194746154612,0.271590087867377,-0.157914285010694,-0.317693497816482,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0
714,7,0.106058345560619,0.448850406068238,p1,C1,0,0.108210658136064,-0.484385901553521,-0.300184504053667,-0.0034854767602171,0.414531977939746,0.0384953038478921,0.192769941793005,0.28285787582796,-0.24371130958327,-0.380784576042294,0.0166067485725062,-0.0992606614171213,0.249240158352673,-0.094441166053401,0.136597144258149,-0.274177200359056,0.12924976266703,0.0804753728885339,-0.180193230998048,-0.1784014138349,-0.420175370484189,0.171430739256124,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
715,5,0.106016552885155,0.448496733506314,cmm,D2,0,-0.181181359118182,0.246175760068482,-0.181181359123658,0.458208865838792,-0.181181359112706,0.0341426542981721,0.424835193771464,-0.113440406697577,-0.287197912007828,-0.260233476949895,0.212802088001154,-0.113440406700711,-0.075164806237517,-0.26023347694676,0.0064823663541449,0.556902148702398,-0.368845084590509,-0.0645506285654309,0.0064823663628624,-0.0645506285696806,0.131154915400775,-0.309123255077791,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
716,6,0.105958432707499,0.448005120376084,p2,C2,0,-0.0331448148765434,0.17945388998423,-0.38596169843255,-0.327580537726847,0.174182072357437,0.223320958238075,-0.0932885856665272,0.494577797803734,-0.209553256654544,-0.074063323871313,-0.240471518128581,0.135585952194078,-0.17863499518051,-0.283712599936704,0.1993841565139,-0.415312922716546,0.381509330177009,0.26718627497392,-0.012532708900399,-0.415313467486427,-0.406573804408692,0.267186819743801,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1
717,6,0.105924832045848,0.447721030072002,p1,C1,0,0.106381874942584,0.164313639098392,0.0032408998041628,0.45656618092394,0.315448242611384,-0.311407205643922,-0.331646609013434,0.127751363543866,-0.473175301440634,0.28538990386828,0.127655220105414,-0.213355888091137,-0.190118916529394,-0.0298880745289332,-0.114703752996881,-0.422996743336896,0.191034136440778,0.358515273486484,0.0217307475618948,-0.0298884896462313,-0.0841944439858751,-0.21335547297384,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1
718,7,0.105869738935145,0.447255418201251,p1,C1,0,-0.220556320176368,-0.235758844418054,-0.110825530540545,0.171735956418547,0.266642757633375,0.0778336597713562,0.0601663311692977,0.414336552804883,-0.0869612596273734,-0.400032902886499,-0.453365659480974,0.301718881255871,-0.31976992976059,0.137445366989992,0.435166280285104,-0.0503592760786195,-0.477786934017489,-0.24337861083173,0.0981189269639907,0.206026190697695,-0.354150679548427,-0.0714842157234413,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
719,7,0.105869738934796,0.4472554181983,p1,C1,0,0.364326088217761,-0.363437024184084,-0.0303322389139584,-0.352875312525118,-0.114792651901726,-0.0499306251871699,0.467081329242302,0.0171891059624734,-0.323855655608785,-0.016370723973519,0.183241368536708,0.248844069361297,0.0942702191311536,-0.0834913528905004,0.2580181704708,0.050748041180526,0.0596062134975543,0.420739255236097,-0.229710611227045,-0.424162556421007,0.169046022355236,-0.281587758058996,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0
720,7,0.105778294657183,0.446483124133151,p1,C1,0,-0.0939822764618935,0.165980824889763,-0.485422391782397,0.0925886390048441,-0.12197891249234,-0.499012022610344,-0.169594471991406,-0.031602034613622,-0.245206418514392,-0.229184989408141,0.45229513811631,-0.109592182045051,-0.229320267920543,0.379564385511672,0.3900121966768,-0.311772857897049,0.179181953461611,0.439257337697428,-0.42313978129562,0.294769416808474,-0.0183696509961314,0.363563519862026,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
721,7,0.105778294657089,0.446483124132355,p1,C1,0,0.282452798726702,-0.205486567741193,0.0158415295731545,0.123060526431294,-0.0673541712939879,-0.404712387280314,-0.423401694048488,0.306284390834116,0.149147309921463,-0.0412129023634333,-0.422257083076962,-0.233682286364559,-0.302924226294296,-0.0589943938982068,-0.117464677133841,0.287333609240498,-0.279449251036759,0.151255733376204,-0.0842416440607832,0.496265226176936,-0.211306502076204,-0.249683625611341,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0
722,6,0.105750085867489,0.446245021047493,p1,C1,0,0.428804606798924,0.198388244799501,0.282665839993568,-0.11930244582381,0.0189440034864676,-0.154781336612915,0.0669941867426356,0.199298691643689,-0.0755179417489489,0.355576060052312,-0.211704867079972,0.193756889331387,-0.0691927385883899,0.0374795209227656,0.107078746012983,-0.347043110774369,0.317708922120262,-0.32787930225565,-0.390014571427833,0.307502095732817,0.247623681490304,0.0892745657842731,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
723,6,0.105662432703176,0.445505568643668,cm,D1,2,-0.0107443117,0.0032550305,-0.1224156254,-0.1917162318,-0.0308849644365051,-0.469714162120499,-0.0308849644365045,0.473662627009389,0.0747774016718627,-0.286701421778756,0.074777401671862,0.290649886667644,0.363451636243147,0.0019742324444443,0.363451636243149,0.213299097850797,0.363451636243149,-0.209350632961908,0.180438934349919,-0.103688200258732,0.18043893434992,0.107636665147621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1
724,5,0.105662432702593,0.445505568638752,p3m1,D3,2,0.1749915072,-0.1923093486,0.3601206647,-0.3034886748,-0.0098851688019551,-0.0825687047798709,-0.11554760095757,0.100443997428146,-0.221210034207142,-0.0825687041482747,0.278789965200437,0.206106431472641,-0.115547599772729,-0.476906271761479,0.490114830605624,0.206106428788839,0.0957772644476169,0.10044399679655,-0.115547602051527,-0.265581406356292,-0.326872466362757,0.100443998059742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
