crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45
288,3,0.131955780965728,0.631649393850614,p1,C1,0,0.341700202648597,-0.143478734216891,-0.217651252108017,0.116529066451118,0.444439498849045,0.147437681745094,-0.174784532301485,-0.198326924697017,-0.0235128667530449,-0.45662921072377,-0.0302838263656793,0.302385893852888,0.0884201021490322,-0.217630627058754,-0.401619618537872,-0.333216346718289,0.23360059051124,0.306171002922783,-0.405019741591817,-0.0693266885571644,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
289,4,0.131908083012209,0.631192832751649,cm,D1,1,-0.3627879998,-0.2353283105,-0.0740003747940265,-0.357196919831196,0.0579099542800733,-0.128726714904194,0.294093791397927,0.280355683683215,-0.19638257355315,0.443125081541093,-0.328290659408435,0.214653581476383,0.319914818414103,-0.159588027674919,0.451822904732673,0.0688834721223133,0.0320889273430598,0.311216997126009,-0.0998191585122246,0.0827454970612992,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
290,5,0.131908083011579,0.63119283274562,cmm,D2,0,-0.164535901622267,0.142436905589201,0.0639355999432124,0.274344988842556,-0.0584488484841406,-0.525978310202007,-0.410243369085316,-0.151736701948407,-0.190356931288883,-0.29750680837752,0.457848546995509,0.0767347992326625,-0.29644398447316,0.370908407387042,-0.0679724829076801,0.502816490640397,0.195843682794103,0.0458734870447135,-0.0326278187713768,-0.0860345962086416,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
291,5,0.131847743670572,0.630615505748938,p1,C1,0,-0.197005794560185,0.0680658578569042,-0.456386239973295,0.115574747355535,0.170108130305026,-0.411188427224702,-0.319189929040726,-0.279774528767529,0.049871439498696,0.283953585974665,-0.0861700033728923,-0.473291794626538,-0.0647656781590003,-0.210466444048946,-0.0736155297771463,0.516947745693649,0.284232989234706,0.16308186037503,0.0623742293981397,0.0205546674331978,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1
292,6,0.131844396593297,0.630583488636192,p2,C2,1,-0.3361846557,-0.0735533729,0.396741716958789,-0.0621646374698329,0.325957209857881,-0.316175135691233,0.46752622404935,0.191845860754451,-0.267847141946368,-0.394738891110836,0.0613305758187812,0.270409616181548,-0.244829531885416,0.295840392604928,0.038312965769207,-0.420169667535178,-0.109491264315019,0.069532343735149,-0.0970253018072054,-0.193861618668997,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1
293,4,0.13184070295425,0.630548157363412,cm,D1,0,-0.0450135089369489,0.151314402085671,-0.0450135089370652,-0.359302964462564,-0.242775569682498,-0.10399428118827,0.249260632248332,-0.235834984142758,0.249260632248386,0.0278464217657428,-0.471130365704747,-0.235834984142709,-0.471130365704965,0.0278464217657917,-0.110934866728167,0.40662256570142,0.389065133271672,0.251414275706137,0.0209058362260018,-0.103994281188462,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
294,3,0.13184070295379,0.630548157359011,cm,D1,1,-0.2134429329,0.0107163452,-0.276783548251383,-0.283146022262945,-0.447345581179501,0.19573021130296,-0.0308472575875367,0.248632294012492,0.100993445366094,0.0202774979908394,-0.0227197451013611,-0.212580678429404,0.364511136858711,0.0109871755098731,0.240797946391256,-0.221871000910372,-0.0308472575873002,0.512313699920072,-0.25920205360898,0.380472996966486,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1
295,3,0.131840241119584,0.630543739782478,p1,C1,0,0.459685470300497,0.0130384474828199,-0.283476374931413,-0.0466403508395648,0.389304006487207,-0.273713485195917,-0.0853616048092704,-0.318186025695345,0.269166045910899,0.327918500705795,-0.0042640410009714,0.35106591095642,-0.0600252097461892,0.0933488397833027,0.141456130531612,-0.183720001552195,0.202846653443324,0.0727143963172393,-0.348554846085691,-0.302163714362556,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0
296,4,0.131795337486384,0.63011429755957,p1,C1,0,0.304646381846552,0.151954661131285,-0.436897442044436,0.0772891235151442,-0.064409929258592,0.166908753993739,0.101831443760938,-0.29186706046289,-0.231396210685295,-0.401670705675374,0.112503571739594,-0.0284925180010063,0.005153856728949,0.45574209378095,-0.370579911119128,-0.177822673594915,-0.241322583967306,0.362310792203469,-0.0032109311012785,-0.533623432490402,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
297,4,0.131761264421099,0.629788532616802,p1,C1,0,0.269659790570489,0.0775108548881373,0.220865908798677,0.358236469220915,0.0209590005437806,-0.0835468948362002,-0.127945876458977,0.393178752296538,-0.443436014957041,-0.284697151844869,0.176324595780605,-0.296398145770026,-0.0851156281918777,-0.329460700066461,-0.48752683980543,-0.0248892952054376,-0.240481223428702,-0.116609449132637,0.0268459424484767,0.17990987035004,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
298,4,0.131744567037162,0.629628923422585,p1,C1,0,0.29302286336995,-0.131726509482155,0.0007120903916254,0.572151711920422,-0.427404201093734,0.13928439051579,-0.176678406963424,0.0582714290036697,-0.0295872713090419,-0.483872439886642,0.0278748667665832,-0.226725348783096,-0.234138387814587,-0.198876144144167,0.310582544325094,0.167133595154714,0.0853348476177475,0.0304222243647401,0.208399474109789,0.410002168536723,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0
299,4,0.131666851115258,0.628886308211525,p1,C1,0,0.292897930862999,0.295875726854031,-0.403912644518074,-0.0847675352325877,-0.024873098026976,-0.251561476425566,-0.0321900710005284,0.47339692472871,0.365722191030582,0.0428119683632256,0.111639998957785,-0.0263753021562153,-0.151223904942352,-0.0106524920761698,-0.174255959925228,0.251672045803335,0.204757606736732,-0.380458249698416,-0.279924568574938,-0.317085411760348,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
300,5,0.131602757400927,0.628274189847319,p1,C1,0,0.255765668641729,0.24960670387058,0.005766720437337,-0.183408146831811,-0.194775242984648,0.006181381234132,-0.289904866611433,0.373025791877272,-0.0318709084905782,0.321106436347562,0.287822730268307,-0.0566365716555864,-0.0479380532890193,-0.441076422529679,-0.449024311272225,-0.0618961796600588,0.414844255352343,-0.28716352276484,0.0594736265481876,0.0742596844124317,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
301,5,0.131576131237723,0.628019987896406,cm,D1,0,-0.0731548550173883,0.114639974106874,-0.0731548550174788,0.491985951363972,0.347370402730225,0.303312962735217,0.107821836798917,-0.337174634982082,-0.392178163201028,0.0777751566683652,0.347371715057248,0.0401607002630416,-0.152628284942849,-0.299560178577047,0.110287974558771,-0.0740339284950463,-0.389712025441188,-0.185365549818672,-0.256598624625231,0.303312962735378,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
302,4,0.131572436747468,0.627984720388088,p1,C1,0,-0.267674229820893,0.347648171014611,0.135203788418242,0.06032732654029,-0.424793727815904,-0.056409823193347,0.325254461484475,-0.138685680980711,0.202393651822638,0.314749705081103,-0.0500656903162531,0.495606773269847,0.0680091180191736,-0.194093782482972,-0.485282085045289,0.199688562366493,-0.0709803154295593,-0.417537649788088,-0.300113879616632,-0.288142772727229,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
